"Abort"	"中断"
'load .cad'	'cadを読み込む'
'load .math'	'.mathを読み込む'
'load .png'	'.pngを読み込む'
'load .stl'	'.stlを読み込む'
'load .svg'	'.svgを読み込む'
'make .camm'	'.cammを生成'
'make .drl'	'.drlを生成'
'make .dxf'	'.dxfを生成'
'make .epi'	'.epiを生成'
'make .eps'	'.epsを生成'
'make .g'	'.gを生成'
'make .grb'	'.grbを生成'
'make .oms'	'.omsを生成'
'make .ord'	'.ordを生成'
'make .path'	'.pathを生成'
'make .plt'	'.pltを生成'
'make .png'	'.pngを生成'
'make .rml'	'.rmlを生成'
'make .sbp'	'.sbpを生成'
'make .stl'	'.stlを生成'
'make .uni'	'.uniを生成'
'max intensity z (mm)'	'最大 z 強さ (mm)'
'max spot size (mm):'	'最大スポットサイズ (mm)'
'max z power (%)'	'最大 z パワー (%)'
'min intensity z (mm)'	'最小 z 強さ (mm)'
'min z power (%)'	'最小 z パワー (%)'
'minimum spot radius (pixels):'	'最小スポット半径 (ピクセル数)'
'mm'	'mm'
'move to xmin,ymin'	'xmin, yminに移動'
'no'	'no'
'offsets (-1 to fill)'	'オフセット (埋め尽くすには-1)'
'on'	'on'
'overlap (0-1)'	'オーバーラップ (0-1)'
'path resolution'	'パスの解像度'
'pause'	'一時停止'
'period'	'周期'
'plunge speed (mm/s)'	'進入速度 (mm/s)'
'png resolution (pixels/mm):'	'pngの解像度 (ピクセル数/mm)'
'points per spot:'	'スポットあたりの点の数'
'port'	'ポート'
'power (%)'	'パワー(%)'
'program'	'プログラム'
'proportional'	'比例'
'quit'	'終了'
'rate                '	'割合'
'rate'	'割合'
'reload .cad'	'.cadを再読み込み'
'reload .math'	'.mathを再読み込み'
'reload .svg'	'.svgを再読み込み'
'reset view'	'描画をリセット'
'resize .png'	'.pngのサイズを変更'
'resize'	'サイズを変更'
'resolution (pixels/mm):'	'解像度 (ピクセル数/mm)'
'right'	'右移動'
'row offset (1 = spot size):'	'列のオフセット (1でスポットサイズ)'
'save .cad'	'.cadを保存'
'save .math'	'.mathを保存'
'save .svg'	'.svgを保存'
'scale factor'	'縮尺'
'segment'	'セグメント'
'send it!'	'送信!'
'side:'	'側面:'
'speed (%)     '	'スピード (%)'
'speed (%)'	'スピード (%)'
'speed (mm/s)'	'スピード (mm/s)'
'speed (rpm)'	'スピード (rpm)'
'spindle speed (RPM)'	'スピンドル速度 (RPM)'
'spindle'	'スピンドル'
'spot spacing (1 = spot size):'	'スポットの間隔 (1でスポットのサイズ)'
'start'	'開始'
'stl units (mm/unit):'	'stlの単位 (mm/unit)'
'threshold (0-1):'	'しきい値 (0-1)'
'to: Excellon'	'Excellon型式に変換'
'to: Gerber'	'Gerber型式に変換'
'to: MTM Snap'	'MTM Snap型式に変換'
'to: camm'	'cammに変換'
'to: dxf'	'dxfに変換'
'to: epi'	'epiに変換'
'to: eps'	'epsに変換'
'to: g'	'gに変換'
'to: halftone path'	'halftone pathに変換'
'to: oms'	'omsに変換'
'to: ord'	'ordに変換'
'to: path'	'pathに変換'
'to: plt'	'pltに変換'
'to: png'	'pngに変換'
'to: rml'	'rmlに変換'
'to: sbp'	'sbpに変換'
'to: stl'	'stlに変換'
'to: uni'	'uniに変換'
'tool diameter (mm)'	'ツール直径 (mm)'
'tool number'	'ツール番号'
'top intensity (0-1)'	'上面 強さ (0-1)'
'top z (mm)'	'上面 z (mm)'
'top'	'上面'
'type:'	'型式'
'up'	'上昇'
'velocity (cm/2)'	'速度 (cm/s)'
'velocity'	'速度'
'width (mm):'	'幅 (mm)'
'x  origin (mm)  y'	'ｘ原点 (mm)'
'xmin (mm)'	'xの最小値 xmin (mm)'
'ymin (mm)'	'yの最小値 ymin (mm)'
'zero x'	'xの原点設定'
'zero xyz'	'xyzの原点設定'
'zero y'	'yの原点設定'
'zero z'	'zの原点設定'
about = menu.Append(wx.ID_ABOUT, 'About',	about = menu.Append(wx.ID_ABOUT, '概要',
exit = menu.Append(wx.ID_EXIT,'Exit\tCtrl+Q',"Terminate the program")	exit = menu.Append(wx.ID_EXIT,'Exit\tCtrl+Q',"プログラムを終了する")
exportMenu.Append(-1, '.dot','Export to dot / Graphviz file'))	exportMenu.Append(-1, '.dot','Graphviz用 dotファイルに出力'))
exportMenu.Append(-1, '.math','Export to .math file'))	exportMenu.Append(-1, '.math','.mathファイルに出力'))
exportMenu.Append(-1, '.png','Export to image file'))	exportMenu.Append(-1, '.png','画像ファイル(.png)に出力'))
exportMenu.Append(-1, '.stl','Export to stl file'))	exportMenu.Append(-1, '.stl','stlファイルに出力'))
exportMenu.Append(-1, '.svg','Export to svg file'))	exportMenu.Append(-1, '.svg','svgファイルに出力'))
frame.control_panel.defaults.Append('cm')	frame.control_panel.defaults.Append('cm')
frame.control_panel.defaults.Append('mm')	frame.control_panel.defaults.Append('mm')
frame.control_panel.defaults.Append('preview')	frame.control_panel.defaults.Append('プレビュー')
frame.control_panel.defaults.Append('render')	frame.control_panel.defaults.Append('レンダリング')
frame.control_panel.defaults.Append('inches')	frame.control_panel.defaults.Append('インチ')
frame.formats.Append("drawing (.svg)")	frame.formats.Append("描画 (.svg)")
frame.formats.Append("expression (.math)")	frame.formats.Append("数式 (.math)")
frame.formats.Append("image (.png)")	frame.formats.Append("画像 (.png)")
frame.formats.Append("mesh (.stl)")	frame.formats.Append("メッシュ (.stl)")
frame.formats.Append("program (.cad)")	frame.formats.Append("プログラム (.cad)")
frame.formats.Append("volume (.gif)")	frame.formats.Append("ボリューム (.gif)")
frame.processes.Append("DXF (.dxf)")	frame.processes.Append("DXF (.dxf)")
frame.processes.Append("Encapsulated PostScript (.eps)")	frame.processes.Append("Encapsulated PostScript (.eps)")
frame.processes.Append("Epilog halftone (.epi)")	frame.processes.Append("Epilog ハーフトーン (.epi)")
frame.processes.Append("Epilog lasercutter (.epi)")	frame.processes.Append("Epilog レーザーカッター (.epi)")
frame.processes.Append("Excellon (.drl)")	frame.processes.Append("Excellon (.drl)")
frame.processes.Append("G-codes (.g)")	frame.processes.Append("Gコード (.g)")
frame.processes.Append("Gerber (.grb)")	frame.processes.Append("ガーバー (.grb)")
frame.processes.Append("MTM Snap")	frame.processes.Append("MTM Snap")
frame.processes.Append("Omax waterjet (.ord)")	frame.processes.Append("Omax ウォータージェット (.ord)")
frame.processes.Append("PostScript halftone (.eps)")	frame.processes.Append("PostScript ハーフトーン (.eps)")
frame.processes.Append("Resonetics excimer (.oms)")	frame.processes.Append("Resonetics エキシマレーザー (.oms)")
frame.processes.Append("Roland MDX-20 mill (.rml)")	frame.processes.Append("Roland MDX-20 切削 (.rml)")
frame.processes.Append("Roland SRM-20 mill (.rml)")	frame.processes.Append("Roland SRM-20 切削 (.rml)")
frame.processes.Append("Roland vinylcutter (.camm)")	frame.processes.Append("Roland ビニールカッター (.camm)")
frame.processes.Append("ShopBot (.sbp)")	frame.processes.Append("ShopBot (.sbp)")
frame.processes.Append("Universal halftone (.uni)")	frame.processes.Append("Universal ハーフトーン (.uni)")
frame.processes.Append("Universal lasercutter (.uni)")	frame.processes.Append("Universal レーザーカッター (.uni)")
frame.processes.Append("image (.png)")	frame.processes.Append("画像 (.png)")
frame.processes.Append("mesh (.stl)")	frame.processes.Append("メッシュ (.stl)")
libraryMenu.Append(-1, 'cad_shapes','View the standard shapes library'))	libraryMenu.Append(-1, 'cad_shapes','標準形状ライブラリを見る'))
libraryMenu.Append(-1, 'cad_text','View the standard text library'))	libraryMenu.Append(-1, 'cad_text','標準テキストライブラリを見る'))
menuBar.Append(exportMenu, 'Export')	menuBar.Append(exportMenu, '出力')
menuBar.Append(libraryMenu, 'Libraries')	menuBar.Append(libraryMenu, 'ライブラリ')
menuBar.Append(menu, 'File')	menuBar.Append(menu, 'ファイル')
menuBar.Append(settingsMenu, 'Options')	menuBar.Append(settingsMenu, 'オプション')
menuBar.Append(viewMenu, 'View')	menuBar.Append(viewMenu, 'ビュー')
new = menu.Append(wx.ID_NEW, 'New\tCtrl+N', 'Start a new cad file')	new = menu.Append(wx.ID_NEW, 'New\tCtrl+N', '新規cadファイルを開始する')
open = menu.Append(wx.ID_OPEN, 'Open\tCtrl+O', "Open a cad file")	open = menu.Append(wx.ID_OPEN, 'Open\tCtrl+O', "cadファイルを開く")
reload = menu.Append(-1, 'Reload\tCtrl+R','Reload the current file')	reload = menu.Append(-1, 'Reload\tCtrl+R','現在のファイルを再読込みする')
save = menu.Append(wx.ID_SAVE, 'Save\tCtrl+S', "Save the current file")	save = menu.Append(wx.ID_SAVE, 'Save\tCtrl+S', "現在のファイルを保存する")
saveas = menu.Append(wx.ID_SAVEAS, 'Save As\tCtrl+Shift+S', "Save the current file")	saveas = menu.Append(wx.ID_SAVEAS, 'Save As\tCtrl+Shift+S', "現在のファイルを保存する")
self.control_panel.defaults.Append('acrylic')	self.control_panel.defaults.Append('アクリル')
self.control_panel.defaults.Append('cardboard')	self.control_panel.defaults.Append('ボール紙')
self.control_panel.defaults.Append('copper')	self.control_panel.defaults.Append('銅')
self.control_panel.defaults.Append('cut out board (1/32)')	self.control_panel.defaults.Append('輪郭を切断 (1/32インチ)')
self.control_panel.defaults.Append('epoxy')	self.control_panel.defaults.Append('エポキシ')
self.control_panel.defaults.Append('inches, 1/8, wax, finish')	self.control_panel.defaults.Append('インチ, 1/8, ワックス, 仕上げ')
self.control_panel.defaults.Append('inches, 1/8, wax, rough')	self.control_panel.defaults.Append('インチ, 1/8, ワックス, 荒削り')
self.control_panel.defaults.Append('mill traces (0.010)')	self.control_panel.defaults.Append('ミリングパス (0.010インチ)')
self.control_panel.defaults.Append('mill traces (1/64)')	self.control_panel.defaults.Append('ミリングパス (1/64インチ)')
self.control_panel.defaults.Append('mm, 1/8, wax, finish')	self.control_panel.defaults.Append('ミリメートル, 1/8, ワックス, 仕上げ')
self.control_panel.defaults.Append('mm, 1/8, wax, rough')	self.control_panel.defaults.Append('ミリメートル, 1/8, ワックス, 荒削り')
self.control_panel.defaults.Append('outline')	self.control_panel.defaults.Append('輪郭線')
self.control_panel.defaults.Append('vinyl')	self.control_panel.defaults.Append('ビニール')
self.control_panel.defaults.Append('wax finish cut (1/8)')	self.control_panel.defaults.Append('ワックス 仕上げ 切断 (1/8インチ)')
self.control_panel.defaults.Append('wax rough cut (1/8)')	self.control_panel.defaults.Append('ワックス 荒削り 切断 (1/8)')
self.control_panel.defaults.Append('wax')	self.control_panel.defaults.Append('ワックス')
settingsMenu.Append(-1, 'Render\tCtrl+Enter',	settingsMenu.Append(-1, 'Render\tCtrl+Enter',
workflows["volume (.gif) : mesh (.stl)"] = "make_gif_stl"	workflows[u"ボリューム (.gif) : メッシュ (.stl)"] = "make_gif_stl"
workflows["drawing (.svg) : Epilog lasercutter (.epi)"] = "make_svg_epi"	workflows["描画 (.svg) : Epilog レーザーカッター (.epi)"] = "make_svg_epi"
workflows["drawing (.svg) : G-codes (.g)"] = "make_svg_g"	workflows[u"描画 (.svg) : Gコード (.g)"] = "make_svg_g"
workflows["drawing (.svg) : MTM Snap"] = "make_svg_snap"	workflows[u"描画 (.svg) : MTM Snap"] = "make_svg_snap"
workflows["drawing (.svg) : Omax waterjet (.ord)"] = "make_svg_ord"	workflows[u"描画 (.svg): Omax ウォータージェット (.ord)"] = "make_svg_ord"
workflows["drawing (.svg) : Resonetics excimer (.oms)"] = "make_svg_oms"	workflows[u"描画 (.svg) : Resonetics エキシマレーザー (.oms)"] = "make_svg_oms"
workflows["drawing (.svg) : Roland Modela (.rml)"] = "make_svg_rml"	workflows[u"描画 (.svg) : Roland モデラ (.rml)"] = "make_svg_rml"
workflows["drawing (.svg) : Roland vinylcutter (.camm)"] = "make_svg_camm"	workflows[u"描画 (.svg) : Roland ビニールカッター (.camm)"] = "make_svg_camm"
workflows["drawing (.svg) : ShopBot (.sbp)"] = "make_svg_sbp"	workflows[u"描画 (.svg) : ShopBot (.sbp)"] = "make_svg_sbp"
workflows["drawing (.svg) : Universal lasercutter (.uni)"] = "make_svg_uni"	workflows[u"描画 (.svg) : Universal レーザーカッター (.uni)"] = "make_svg_uni"
workflows["expression (.math) : DXF (.dxf)"] = "make_math_dxf"	workflows[u"数式 (.math) : DXF (.dxf)"] = "make_math_dxf"
workflows["expression (.math) : Encapsulated PostScript (.eps)"] = "make_math_eps"	workflows[u"数式 (.math) : Encapsulated PostScript (.eps)"] = "make_math_eps"
workflows["expression (.math) : Epilog lasercutter (.epi)"] = "make_math_epi"	workflows[u"数式 (.math) : Epilog レーザーカッター (.epi)"] = "make_math_epi"
workflows["expression (.math) : Excellon (.drl)"] = "make_math_drl"	workflows[u"数式 (.math) : Excellon (.drl)"] = "make_math_drl"
workflows["expression (.math) : G-codes (.g)"] = "make_math_g"	workflows[u"数式 (.math) : Gコード (.g)"] = "make_math_g"
workflows["expression (.math) : Gerber (.grb)"] = "make_math_grb"	workflows[u"数式 (.math) : ガーバー (.grb)"] = "make_math_grb"
workflows["expression (.math) : Omax waterjet (.ord)"] = "make_math_ord"	workflows[u"数式 (.math) : Omax ウォータージェット (.ord)"] = "make_math_ord"
workflows["expression (.math) : Roland Modela (.rml)"] = "make_math_rml"	workflows[u"数式 (.math) : Roland モデラ (.rml)"] = "make_math_rml"
workflows["expression (.math) : Roland vinylcutter (.camm)"] = "make_math_camm"	workflows[u"数式 (.math) : Roland ビニールカッター (.camm)"] = "make_math_camm"
workflows["expression (.math) : ShopBot (.sbp)"] = "make_math_sbp"	workflows[u"数式 (.math) : ShopBot (.sbp)"] = "make_math_sbp"
workflows["expression (.math) : Universal lasercutter (.uni)"] = "make_math_uni"	workflows[u"数式 (.math) : Universal レーザーカッター (.uni)"] = "make_math_uni"
workflows["expression (.math) : mesh (.stl)"] = "make_math_stl"	workflows[u"数式 (.math) : メッシュ (.stl)"] = "make_math_stl"
workflows["image (.png) : DXF (.dxf)"] = "make_png_dxf"	workflows[u"画像 (.png) : DXF (.dxf)"] = "make_png_dxf"
workflows["image (.png) : Encapsulated PostScript (.eps)"] = "make_png_eps"	workflows[u"画像 (.png) : Encapsulated PostScript (.eps)"] = "make_png_eps"
workflows["image (.png) : Epilog halftone (.epi)"] = "make_png_epi_halftone"	workflows[u"画像 (.png) : Epilog ハーフトーン (.epi)"] = "make_png_epi_halftone"
workflows["image (.png) : Epilog lasercutter (.epi)"] = "make_png_epi"	workflows[u"画像 (.png) : Epilog レーザーカッター (.epi)"] = "make_png_epi"
workflows["image (.png) : Excellon (.drl)"] = "make_png_drl"	workflows[u"画像 (.png) : Excellon (.drl)"] = "make_png_drl"
workflows["image (.png) : G-codes (.g)"] = "make_png_g"	workflows[u"画像 (.png) : Gコード (.g)"] = "make_png_g"
workflows["image (.png) : Gerber (.grb)"] = "make_png_grb"	workflows[u"画像 (.png) : ガーバー (.grb)"] = "make_png_grb"
workflows["image (.png) : MTM Snap"] = "make_png_snap"	workflows[u"画像 (.png) : MTM Snap"] = "make_png_snap"
workflows["image (.png) : Omax waterjet (.ord)"] = "make_png_ord"	workflows[u"画像 (.png) : Omax ウォータージェット (.ord)"] = "make_png_ord"
workflows["image (.png) : PostScript halftone (.eps)"] = "make_png_eps_halftone"	workflows[u"画像 (.png) : PostScript halftone (.eps)"] = "make_png_eps_halftone"
workflows["image (.png) : Resonetics excimer (.oms)"] = "make_png_oms"	workflows[u"画像 (.png) : Resonetics エキシマレーザー (.oms)"] = "make_png_oms"
workflows["image (.png) : Roland Modela (.rml)"] = "make_png_rml"	workflows[u"画像 (.png) : Roland モデラ (.rml)"] = "make_png_rml"
workflows["image (.png) : Roland vinylcutter (.camm)"] = "make_png_camm"	workflows[u"画像 (.png) : Roland ビニールカッター (.camm)"] = "make_png_camm"
workflows["image (.png) : ShopBot (.sbp)"] = "make_png_sbp"	workflows[u"画像 (.png) : ShopBot (.sbp)"] = "make_png_sbp"
workflows["image (.png) : Universal halftone (.uni)"] = "make_png_uni_halftone"	workflows[u"画像 (.png) : Universal ハーフトーン (.uni)"] = "make_png_uni_halftone"
workflows["image (.png) : Universal lasercutter (.uni)"] = "make_png_uni"	workflows[u"画像 (.png) : Universal レーザーカッター (.uni)"] = "make_png_uni"
workflows["image (.png) : image (.png)"] = "make_png_png"	workflows[u"画像 (.png) : 画像 (.png)"] = "make_png_png"
workflows["mesh (.stl) : G-codes (.g)"] = "make_stl_g"	workflows[u"メッシュ (.stl) : Gコード (.g)"] = "make_stl_g"
workflows["mesh (.stl) : MTM Snap"] = "make_stl_snap"	workflows[u"メッシュ (.stl) : MTM Snap"] = "make_stl_snap"
workflows["mesh (.stl) : Roland Modela (.rml)"] = "make_stl_rml"	workflows[u"メッシュ (.stl) : Roland モデラ (.rml)"] = "make_stl_rml"
workflows["mesh (.stl) : ShopBot (.sbp)"] = "make_stl_sbp"	workflows[u"メッシュ (.stl) : ShopBot (.sbp)"] = "make_stl_sbp"
workflows["mesh (.stl) : image (.png)"] = "make_stl_png"	workflows[u"メッシュ (.stl) : 画像 (.png)"] = "make_stl_png"
workflows["program (.cad) : DXF (.dxf)"] = "make_cad_dxf"	workflows[u"プログラム (.cad) : DXF (.dxf)"] = "make_cad_dxf"
workflows["program (.cad) : Encapsulated PostScript (.eps)"] = "make_cad_eps"	workflows[u"プログラム (.cad) : Encapsulated PostScript (.eps)"] = "make_cad_eps"
workflows["program (.cad) : Epilog lasercutter (.epi)"] = "make_cad_epi"	workflows[u"プログラム (.cad) : Epilog レーザーカッター (.epi)"] = "make_cad_epi"
workflows["program (.cad) : Excellon (.drl)"] = "make_cad_drl"	workflows[u"プログラム (.cad) : Excellon (.drl)"] = "make_cad_drl"
workflows["program (.cad) : G-codes (.g)"] = "make_cad_g"	workflows[u"プログラム (.cad) : Gコード (.g)"] = "make_cad_g"
workflows["program (.cad) : Gerber (.grb)"] = "make_cad_grb"	workflows[u"プログラム (.cad) : ガーバー (.grb)"] = "make_cad_grb"
workflows["program (.cad) : MTM Snap"] = "make_cad_snap"	workflows[u"プログラム (.cad) : MTM Snap"] = "make_cad_snap"
workflows["program (.cad) : Omax waterjet (.ord)"] = "make_cad_ord"	workflows[u"プログラム (.cad) : Omax ウォータージェット (.ord)"] = "make_cad_ord"
workflows["program (.cad) : Roland Modela (.rml)"] = "make_cad_rml"	workflows[u"プログラム (.cad) : Roland モデラ (.rml)"] = "make_cad_rml"
workflows["program (.cad) : Roland vinylcutter (.camm)"] = "make_cad_camm"	workflows[u"プログラム (.cad) : Roland ビニールカッター (.camm)"] = "make_cad_camm"
workflows["program (.cad) : ShopBot (.sbp)"] = "make_cad_sbp"	workflows[u"プログラム (.cad) : ShopBot (.sbp)"] = "make_cad_sbp"
workflows["program (.cad) : Universal lasercutter (.uni)"] = "make_cad_uni"	workflows[u"プログラム (.cad) : Universal レーザーカッター (.uni)"] = "make_cad_uni"
workflows["program (.cad) : image (.png)"] = "make_cad_png"	workflows[u"プログラム (.cad) : 画像 (.png)"] = "make_cad_png"
workflows["program (.cad) : mesh (.stl)"] = "make_cad_stl"	workflows[u"プログラム (.cad) : メッシュ (.stl)"] = "make_cad_stl"
workflows["image (.png) : Roland MDX-20 mill (.rml)"] = "make_png_rml"	workflows[u"画像 (.png) : Roland MDX-20 切削 (.rml)"] = "make_png_rml"
workflows["program (.cad) : Roland MDX-20 mill (.rml)"] = "make_cad_rml	workflows[u"プログラム(.cad) : Roland MDX-20 切削 (.rml)"] = "make_cad_rml
workflows["mesh (.stl) : Roland MDX-20 mill (.rml)"] = "make_stl_rml"	workflows[u"メッシュ (.stl) : Roland MDX-20 切削 (.rml)"] = "make_stl_rml"
workflows["drawing (.svg) : Roland MDX-20 mill (.rml)"] = "make_svg_rml"	workflows[u"描画 (.svg) : Roland MDX-20 切削 (.rml)"] = "make_svg_rml"    
workflows["image (.png) : Roland MDX-20 mill (.rml)"] = "make_png_rml"	workflows[u"画像 (.png) : Roland MDX-20 切削 (.rml)"] = "make_png_rml"
workflows["expression (.math) : Roland MDX-20 mill (.rml)"]	workflows["数式 (.math) : Roland MDX-20 切削 (.rml)"]
workflows["image (.png) : Roland SRM-20 mill (.rml)"] = "make_png_Roland_SRM_20"	workflows[u"画像 (.png) : Roland SRM-20 切削(.rml)"] = "make_png_Roland_SRM_20"
format_text = wx.StaticText(frame,label="from input format:")	format_text = wx.StaticText(frame,label=u"入力フォーマット:")
process_text = wx.StaticText(frame,label="to output process:")	process_text = wx.StaticText(frame,label=u"出力プロセス:")
program_text = wx.StaticText(frame,label="with workflow:")	program_text = wx.StaticText(frame,label=u"ワークフロー:")
frame.processes = wx.ComboBox(frame,value='process',style=wx.CB_READONLY))	frame.processes = wx.ComboBox(frame,value='process',style=wx.CB_READONLY,size=(300, -1))
